name,position,team,GW,minutes,goals_scored,assists,clean_sheets,saves,penalties_saved,penalties_missed,bonus,goals_conceded,yellow_cards,red_cards,own_goals,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,team_standing,sched_strength,5_gw_fpl_pts
Daniel James,MID,Leeds,5,39.4,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4,14.333333333333334,1.5
Danny Ings,FWD,Aston Villa,5,50.0,0.2,0.0,0.2,0.0,0.0,0.0,0.2,0.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,14.4,8.25,0.75
Danny Ward,GK,Leicester,5,90.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.6,9.5,2.75
Danny Welbeck,FWD,Brighton,5,76.8,0.0,0.4,0.6,0.0,0.0,0.0,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4,9.666666666666666,4.0
Darko Gyabi,MID,Leeds,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4,14.333333333333334,0.0
Darren Randolph,GK,West Ham,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,13.25,0.0
Darwin Núñez Ribeiro,FWD,Liverpool,5,19.0,0.2,0.2,0.0,0.0,0.0,0.0,0.2,0.4,0.0,0.2,0.0,0.0,0.0,0.0,0.0,10.4,7.333333333333333,3.0
David Brooks,MID,Bournemouth,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.2,14.5,0.0
David De Gea Quintana,GK,Man Utd,5,90.0,0.0,0.0,0.4,3.2,0.0,0.0,0.2,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,6.666666666666667,1.3333333333333333
David Raya Martin,GK,Brentford,5,90.0,0.0,0.0,0.2,4.4,0.0,0.0,0.4,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.2,9.0,2.5
Davinson Sánchez,DEF,Spurs,5,54.0,0.0,0.0,0.4,0.0,0.0,0.0,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,2.8,8.25,0.25
Dean Henderson,GK,Nott'm Forest,5,90.0,0.0,0.0,0.2,5.0,0.4,0.0,1.0,2.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,13.0,15.75,1.5
Declan Rice,MID,West Ham,5,90.0,0.0,0.2,0.2,0.0,0.0,0.2,0.2,1.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,17.0,13.25,3.0
